,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp,week_no,week_start
577,5th week,Maharashtra,Thane,Dengue,6.0,0.0,20,1,2020,19.1943294,72.9701779,0.0002913774879,11.0,301.43,5,2020-01-27
578,6th week,Assam,Dibrugarh,Acute Diarrhoeal Disease,6.0,2.0,30,1,2020,27.4844597,94.9019447,0.01485558021,10.0,292.3933334,6,2020-02-03
579,6th week,Jharkhand,East Singhbhum,Acute Diarrhoeal Disease,65.0,0.0,7,2,2020,22.8092139,86.2091549,0.01933481332,8.0,297.4066666,6,2020-02-03
580,6th week,Uttar Pradesh,Mahoba,Acute Diarrhoeal Disease,40.0,0.0,5,2,2020,25.36176885,79.70499475,0.0001586055263,18.0,293.52,6,2020-02-03
581,7th week,Gujarat,Jamnagar,Acute Diarrhoeal Disease,37.0,0.0,13,2,2020,22.4732415,70.0552102,4.38e-05,10.0,303.0066666,7,2020-02-10
582,7th week,Kerala,Pathanamthitta,Acute Diarrhoeal Disease,12.0,0.0,11,2,2020,9.2780841,76.9737443,0.04280886152,33.0,302.305,7,2020-02-10
583,7th week,Tamil Nadu,Tiruvannamalai,Acute Diarrhoeal Disease,31.0,0.0,13,2,2020,12.22721295,79.07015555,0.02488543113,10.0,302.396,7,2020-02-10
584,7th week,Kerala,Kasaragod,Malaria,5.0,0.0,29,1,2020,12.5035577,74.9907022,0.01159277929,34.0,302.0833334,7,2020-02-10
585,7th week,Maharashtra,Kolhapur,Acute Diarrhoeal Disease,56.0,0.0,6,2,2020,16.7028412,74.2405329,0.000195932962,7.0,306.4766666,7,2020-02-10
586,7th week,Odisha,Koraput,Acute Diarrhoeal Disease,20.0,0.0,8,2,2020,18.7232023,82.60811828,0.03922885498,12.0,300.85,7,2020-02-10
587,7th week,West Bengal,Jhargram,Acute Diarrhoeal Disease,62.0,0.0,8,2,2020,22.3770636,87.04867177,0.05328491101,8.0,296.54400000000004,7,2020-02-10
588,8th week,Karnataka,Kalaburagi,Acute Diarrhoeal Disease,35.0,0.0,18,2,2020,17.166667,77.083333,0.00297749847,5.0,312.9066666,8,2020-02-17
589,8th week,Karnataka,Yadgiri,Acute Diarrhoeal Disease,13.0,0.0,18,2,2020,16.7469536,77.1327594,0.001953100681,5.0,308.4233334,8,2020-02-17
590,8th week,Maharashtra,Jalgaon,Acute Diarrhoeal Disease,20.0,0.0,19,2,2020,20.84288265,75.52612464,4.98e-05,9.0,306.6333334,8,2020-02-17
591,8th week,Tamil Nadu,Sivaganga,Acute Diarrhoeal Disease,13.0,0.0,17,2,2020,9.851231,78.53047155,0.01681857719,5.0,307.356,8,2020-02-17
592,8th week,Tamil Nadu,Thanjavur,Acute Diarrhoeal Disease,61.0,0.0,17,2,2020,10.7860267,79.1381497,0.01945987739,5.0,308.735,8,2020-02-17
593,8th week,Tamil Nadu,Villupuram,Acute Diarrhoeal Disease,5.0,0.0,20,2,2020,11.9415377,79.4861469,0.0003017665283,8.0,307.492,8,2020-02-17
594,8th week,Telangana,Warangal Urban,Acute Diarrhoeal Disease,55.0,0.0,21,2,2020,18.00441,79.56838,5.29e-05,10.0,306.11333340000004,8,2020-02-17
595,9th week,Karnataka,Chamarajanagar,Acute Diarrhoeal Disease,10.0,0.0,11,2,2020,11.9346006,76.9328209,0.0406840316,8.0,306.81333340000003,9,2020-02-24
596,9th week,Karnataka,Raichur,Chikungunya,6.0,0.0,24,2,2020,16.083333,77.166667,5.82e-05,7.0,310.66400000000004,9,2020-02-24
597,9th week,Kerala,Wayanad,Acute Diarrhoeal Disease,47.0,0.0,21,2,2020,11.715219,76.12690295,0.00106720025,17.0,305.848,9,2020-02-24
598,9th week,Maharashtra,Sindhudurg,Acute Diarrhoeal Disease,49.0,0.0,22,2,2020,16.1357193,73.6522086,4.76e-05,16.0,307.40000000000003,9,2020-02-24
599,9th week,West Bengal,Purulia,Acute Diarrhoeal Disease,68.0,0.0,27,2,2020,23.3291882,86.3672378,0.1675449555,6.0,299.18,9,2020-02-24
600,10th week,Bihar,Buxar,Acute Diarrhoeal Disease,50.0,0.0,3,3,2020,25.5620715,84.01567205,0.06771296632,19.0,296.904,10,2020-03-02
601,10th week,Daman And Diu,Diu Daman,Acute Diarrhoeal Disease,14.0,0.0,4,3,2020,20.71817495,70.93238341,0.5065819908,5.0,295.2,10,2020-03-02
602,11th week,Himachal Pradesh,Mandi,Acute Diarrhoeal Disease,33.0,0.0,10,3,2020,31.6723392,76.95331691,0.4705645454,16.0,289.26,11,2020-03-09
603,11th week,Odisha,Kandhamal,Acute Diarrhoeal Disease,64.0,0.0,13,3,2020,20.13069385,84.07904761,0.06074317802,5.0,301.5,11,2020-03-09
604,11th week,Tamil Nadu,Thiruvarur,Acute Diarrhoeal Disease,32.0,0.0,10,3,2020,10.73618605,79.63318659,0.05966742573,7.0,307.67,11,2020-03-09
605,12th week,Karnataka,Raichur,Dengue,15.0,0.0,16,3,2020,16.083333,77.166667,0.001050071649,7.0,312.60400000000004,12,2020-03-16
606,14th week,Karnataka,Ramanagara,Acute Diarrhoeal Disease,62.0,0.0,31,3,2020,12.7252766,77.2804797,0.0001834974605,7.0,311.1433334,14,2020-03-30
607,15th week,Karnataka,Raichur,Acute Diarrhoeal Disease,42.0,0.0,11,4,2020,16.083333,77.166667,0.05949866626,6.0,316.736,15,2020-04-06
608,15th week,Tamil Nadu,Vellore-Ranipet,Acute Diarrhoeal Disease,10.0,0.0,18,3,2020,12.9250412,79.13588254,0.002387693989,9.0,309.9366666,15,2020-04-06
609,16th week,Tamil Nadu,Nagapattinam,Acute Diarrhoeal Disease,11.0,0.0,14,4,2020,10.8056276,79.82465978,0.02148075123,5.0,313.475,16,2020-04-13
610,16th week,Maharashtra,Gadchiroli,Malaria,14.0,1.0,3,4,2020,19.75907035,80.16228073,0.03302828467,11.0,310.624,16,2020-04-13
611,16th week,Puducherry,Puducherry,Cholera,2.0,0.0,1,4,2020,11.9340568,79.8306447,0.0002428910523,9.0,310.56333340000003,16,2020-04-13
612,17th week,Maharashtra,Kolhapur,Acute Diarrhoeal Disease,607.0,0.0,21,4,2020,16.7028412,74.2405329,0.1258905428,5.0,313.0666666,17,2020-04-20
613,17th week,Kerala,Ernakulam,Dengue,17.0,0.0,3,4,2020,9.98408,76.2741457,0.03963364102,29.0,305.22,17,2020-04-20
614,18th week,Chhattisgarh,Gariyaband,Acute Diarrhoeal Disease,21.0,0.0,26,4,2020,20.52684285,82.187831,0.06504547658,13.0,309.4766666,18,2020-04-27
615,18th week,Karnataka,Chikmagalur,Acute Diarrhoeal Disease,50.0,0.0,28,4,2020,13.318014,75.7738743,0.2869848918,27.0,305.456,18,2020-04-27
616,18th week,Karnataka,Hassan,Chikungunya,17.0,0.0,25,4,2020,13.0070817,76.0992703,0.08969011065,8.0,310.248,18,2020-04-27
617,18th week,Kerala,Palakkad,Dengue,12.0,0.0,10,4,2020,10.78789845,76.47408711,0.4110630692,23.0,305.49,18,2020-04-27
618,18th week,Maharashtra,Chandrapur,Malaria,35.0,2.0,7,4,2020,20.0967555,79.50454752,0.004322479902,8.0,313.0966666,18,2020-04-27
619,19th week,Kerala,Kasaragod,Dengue,44.0,0.0,7,5,2020,12.5035577,74.9907022,0.1237147272,5.0,298.84000000000003,19,2020-05-04
620,19th week,Kerala,Kollam,Dengue,13.0,1.0,9,5,2020,8.8879509,76.5955013,0.511848352,18.0,303.7,19,2020-05-04
621,19th week,Kerala,Pathanamthitta,Dengue,18.0,0.0,3,4,2020,9.2780841,76.9737443,0.05433800572,37.0,306.66400000000004,19,2020-05-04
622,19th week,Kerala,Ernakulam,Dengue,43.0,0.0,13,4,2020,9.98408,76.2741457,0.2505937443,5.0,304.884,19,2020-05-04
623,19th week,Telangana,Wanaparthy,Dengue,73.0,0.0,6,4,2020,16.2852944,77.98644727,0.0001341205911,5.0,315.388,19,2020-05-04
624,20th week,Assam,Dibrugarh,Acute Diarrhoeal Disease,21.0,0.0,14,5,2020,27.4844597,94.9019447,0.6472085684,17.0,304.0933334,20,2020-05-11
625,20th week,Odisha,Bolangir,Acute Diarrhoeal Disease,52.0,0.0,14,5,2020,20.7502257,83.2499464,0.0104204501,11.0,310.056,20,2020-05-11
626,20th week,Sikkim,Singtam,Acute Diarrhoeal Disease,71.0,0.0,7,5,2020,27.2319975,88.4970841,1.124004168,5.0,286.168,20,2020-05-11
627,21st week,Maharashtra,Chandrapur,Dengue,5.0,0.0,23,5,2020,20.0967555,79.50454752,0.003793196938,5.0,311.028,21,2020-05-18
628,21st week,Maharashtra,Washim,Dengue,6.0,0.0,22,4,2020,20.28741775,77.2369655,0.0002937726392,5.0,321.2,21,2020-05-18
629,23rd week,Maharashtra,Kolhapur,Cholera,199.0,0.0,1,6,2020,16.7028412,74.2405329,0.007924493235,5.0,312.65500000000003,23,2020-06-01
630,23rd week,Punjab,Nawanshahr,Acute Diarrhoeal Disease,37.0,0.0,4,6,2020,31.1268889,76.15768481,0.3439373856,10.0,306.935,23,2020-06-01
631,23rd week,Tamil Nadu,Tenkasi (Tirunelveli),Chikungunya,25.0,0.0,5,6,2020,8.9707606,77.3036864,0.9300106017,9.0,304.92,23,2020-06-01
632,23rd week,Tamil Nadu,Dindigul-Palani,Dengue,57.0,0.0,7,6,2020,10.4485636,77.5314268,0.573766176,14.0,305.2,23,2020-06-01
633,24th week,Himachal Pradesh,Kangra,Acute Diarrhoeal Disease,28.0,0.0,13,6,2020,32.166667,76.25,0.4374365403,22.0,301.612,24,2020-06-08
634,24th week,Tamil Nadu,Tirunelveli,Chikungunya,4.0,0.0,8,6,2020,8.7284271,77.7112925,0.1544300263,5.0,312.72,24,2020-06-08
635,24th week,Telangana,Adilabad,Acute Diarrhoeal Disease,40.0,0.0,11,6,2020,19.5,78.5,0.1657612636,4.0,315.264,24,2020-06-08
636,24th week,Kerala,Ernakulam,Dengue,20.0,0.0,27,5,2020,9.98408,76.2741457,0.5217521455,25.0,301.58,24,2020-06-08
637,25th week,Gujarat,Sabarkantha,Acute Diarrhoeal Disease,8.0,0.0,12,6,2020,24.0294885,73.0459884,0.2213283721,7.0,309.0366666,25,2020-06-15
638,25th week,Kerala,Kannur,Dengue,174.0,2.0,3,6,2020,11.8763836,75.3737973,0.5065819908,8.0,301.96,25,2020-06-15
639,25th week,Kerala,Kannur,Dengue,94.0,2.0,8,6,2020,11.8763836,75.3737973,0.5065819908,5.0,301.16,25,2020-06-15
640,25th week,Kerala,Kozhikode,Dengue,30.0,0.0,20,1,2020,11.2450558,75.7754716,0.002652047895,31.0,295.2,25,2020-06-15
641,26th week,Maharashtra,Kolhapur,Acute Diarrhoeal Disease,39.0,0.0,21,6,2020,16.7028412,74.2405329,0.9839975072,7.0,295.2,26,2020-06-22
642,26th week,Kerala,Kozhikode,Dengue,33.0,0.0,30,5,2020,11.2450558,75.7754716,0.4320908522,5.0,295.2,26,2020-06-22
643,27th week,Meghalaya,West Khasi Hills,Acute Diarrhoeal Disease,4.0,4.0,1,7,2020,25.58173695,91.28910306,3.680139376,6.0,295.2,27,2020-06-29
644,27th week,Maharashtra,Jalgaon,Acute Diarrhoeal Disease,74.0,0.0,28,6,2020,20.84288265,75.52612464,0.3034654863,8.0,313.51,27,2020-06-29
645,27th week,Tamil Nadu,Thanjavur,Acute Diarrhoeal Disease,57.0,0.0,4,7,2020,10.7860267,79.1381497,0.2544956103,7.0,311.48,27,2020-06-29
646,31st week,Kerala,Kannur,Dengue,35.0,0.0,3,7,2020,11.8763836,75.3737973,0.5065819908,5.0,299.12,31,2020-07-27
647,31st week,Maharashtra,Gadchiroli,Malaria,3.0,1.0,18,7,2020,19.75907035,80.16228073,0.6669874928,5.0,295.2,31,2020-07-27
648,31st week,Maharashtra,Gadchiroli,Malaria,2.0,1.0,19,7,2020,19.75907035,80.16228073,0.594522564,5.0,300.64,31,2020-07-27
649,31st week,Maharashtra,Gadchiroli,Malaria,5.0,1.0,26,7,2020,19.75907035,80.16228073,1.132628174,5.0,295.2,31,2020-07-27
650,33rd week,Kerala,Wayanad,Acute Diarrhoeal Disease,31.0,0.0,10,8,2020,11.715219,76.12690295,3.115720094,3.0,295.2,33,2020-08-10
651,34th week,Karnataka,Tumkur,Chikungunya,31.0,0.0,10,8,2020,13.3400771,77.1006208,0.8928106134,3.0,295.2,34,2020-08-17
652,35th week,Uttar Pradesh,Fatehpur,Dengue,7.0,0.0,11,8,2020,25.8435395,80.91800397,0.6019255674,5.0,304.04,35,2020-08-24
653,35th week,Uttar Pradesh,Fatehpur,Dengue,18.0,1.0,9,8,2020,25.8435395,80.91800397,0.5774017648,11.0,304.04,35,2020-08-24
654,36th week,Chhattisgarh,Balod,Acute Diarrhoeal Disease,206.0,0.0,26,8,2020,20.73218365,81.14335738,0.5967599863,6.0,295.88,36,2020-08-31
655,36th week,Maharashtra,Amravati,Acute Diarrhoeal Disease,68.0,0.0,24,8,2020,20.9521098,77.7333168,0.5626673465,17.0,300.48,36,2020-08-31
656,36th week,Maharashtra,Wardha,Dengue,6.0,0.0,7,8,2020,20.82562315,78.6131455,0.5529784197,4.0,302.74,36,2020-08-31
657,37th week,Odisha,Balasore,Acute Diarrhoeal Disease,6.0,0.0,10,9,2020,21.5002888,86.9202627,0.5315676013,18.0,301.42400000000004,37,2020-09-07
658,40th week,Maharashtra,Amravati,Dengue,5.0,0.0,24,9,2020,20.9521098,77.7333168,1.329761391,16.0,302.56,40,2020-09-28
659,41st week,Jammu And Kashmir,Kupwara,Acute Diarrhoeal Disease,20.0,0.0,1,10,2020,34.6110236,74.23847867,0.1917575963,8.0,290.06333340000003,41,2020-10-05
660,41st week,Uttar Pradesh,Fatehpur,Dengue,5.0,0.0,6,10,2020,25.8435395,80.91800397,0.002515332414,5.0,305.3533334,41,2020-10-05
661,43rd week,Tamil Nadu,Ramanathapuram Paramakudi,Dengue,21.0,0.0,15,10,2020,9.4684575,78.7462095,0.1927879139,5.0,295.2,43,2020-10-19
662,44th week,Assam,Kamrup,Acute Diarrhoeal Disease,21.0,0.0,25,10,2020,26.12755515,91.29987148,1.372511654,31.0,302.5066666,44,2020-10-26
663,44th week,Assam,Nagaon,Acute Diarrhoeal Disease,21.0,2.0,28,10,2020,26.30414915,92.71605974,2.127016304,28.0,299.94,44,2020-10-26
664,44th week,Jammu And Kashmir,Srinagar,Acute Diarrhoeal Disease,35.0,0.0,28,10,2020,34.0747444,74.8204443,0.03060003385,8.0,291.0666666,44,2020-10-26
665,44th week,Karnataka,Dharwad,Dengue,8.0,0.0,30,10,2020,15.4540505,75.0066516,0.0714202973,5.0,306.372,44,2020-10-26
666,44th week,Maharashtra,Gadchiroli,Malaria,8.0,1.0,23,10,2020,19.75907035,80.16228073,0.06252674788,5.0,302.28000000000003,44,2020-10-26
667,44th week,Nagaland,Mon,Malaria,3.0,0.0,28,10,2020,26.75,94.833333,1.403977151,34.0,299.37333340000004,44,2020-10-26
668,45th week,Maharashtra,Kolhapur,Chikungunya,11.0,0.0,20,7,2020,16.7028412,74.2405329,1.439750798,4.0,301.88,45,2020-11-02
669,45th week,Madhya Pradesh,Khargone,Dengue,22.0,0.0,24,10,2020,21.825599,75.614182,0.0829532973,11.0,303.98,45,2020-11-02
670,46th week,Chandigarh,Chandigarh,Dengue,11.0,0.0,15,11,2020,30.72984395,76.78414567,0.0003842740343,5.0,299.09000000000003,46,2020-11-09
671,46th week,Karnataka,Chikkaballapura,Chikungunya,15.0,0.0,12,11,2020,13.4358702,77.7312434,0.07124832105,13.0,300.085,46,2020-11-09
672,46th week,Tamil Nadu,Virudhunagar,Dengue,15.0,0.0,11,11,2020,9.5208936,77.8784564,0.2187206529,12.0,302.26,46,2020-11-09
673,46th week,Assam,Kokrajhar,Malaria,8.0,0.0,3,11,2020,26.58687695,90.29293105,0.001920052198,28.0,299.78000000000003,46,2020-11-09
674,46th week,Karnataka,Hassan,Cholera,37.0,0.0,2,11,2020,13.0070817,76.0992703,0.01716113645,16.0,301.036,46,2020-11-09
675,46th week,Maharashtra,Ahmednagar,Chikungunya,40.0,0.0,3,11,2020,19.1627725,74.8580243,0.0004237234006,13.0,303.2966666,46,2020-11-09
676,46th week,Maharashtra,Ahmednagar,Chikungunya,25.0,0.0,3,11,2020,19.1627725,74.8580243,0.0004237234006,13.0,303.2966666,46,2020-11-09
677,48th week,Karnataka,Tumkur,Chikungunya,30.0,0.0,22,11,2020,13.3400771,77.1006208,0.1394223998,12.0,300.065,48,2020-11-23
678,48th week,Madhya Pradesh,Seoni,Acute Diarrhoeal Disease,120.0,0.0,21,11,2020,22.2758789,79.72104465,0.02168966444,7.0,307.14,48,2020-11-23
679,48th week,Maharashtra,Ratnagiri,Cholera,65.0,0.0,23,11,2020,17.2826079,73.4569787,0.01396026875,5.0,302.812,48,2020-11-23
680,48th week,Maharashtra,Nashik,Chikungunya,32.0,0.0,6,11,2020,20.0112475,73.7902364,0.004162033368,16.0,303.9966666,48,2020-11-23
681,48th week,Maharashtra,Osmanabad,Dengue,9.0,0.0,11,11,2020,18.16984395,76.11796321,8.75e-05,7.0,307.676,48,2020-11-23
682,48th week,Maharashtra,Osmanabad,Dengue And Chikungunya,7.0,0.0,31,10,2020,18.16984395,76.11796321,0.007537283688,5.0,304.896,48,2020-11-23
683,48th week,Maharashtra,Pune,Dengue,16.0,1.0,18,11,2020,18.521428,73.8544541,0.001230150582,16.0,303.496,48,2020-11-23
684,48th week,Maharashtra,Pune,Chikungunya,7.0,0.0,27,10,2020,18.521428,73.8544541,0.4427031901,21.0,301.58,48,2020-11-23
685,48th week,Maharashtra,Satara,Dengue,30.0,0.0,4,11,2020,17.63612885,74.29827808,0.004428378293,10.0,305.744,48,2020-11-23
686,48th week,Maharashtra,Satara,Chikungunya,5.0,0.0,9,11,2020,17.63612885,74.29827808,0.0002154749944,9.0,304.81333340000003,48,2020-11-23
687,48th week,Maharashtra,Wardha,Dengue,4.0,0.0,22,10,2020,20.82562315,78.6131455,0.1725683766,5.0,302.92,48,2020-11-23
688,49th week,Chandigarh,Chandigarh,Dengue,13.0,0.0,7,12,2020,30.72984395,76.78414567,7.18e-05,7.0,294.7233334,49,2020-11-30
689,49th week,Maharashtra,Akola,Suspected Dengue,40.0,0.0,2,12,2020,20.76181225,77.19211567,1.5e-05,5.0,304.7133334,49,2020-11-30
690,49th week,Maharashtra,Satara,Chikungunya,7.0,0.0,24,11,2020,17.63612885,74.29827808,0.02053397169,5.0,305.18,49,2020-11-30
691,49th week,Maharashtra,Pune,Dengue,5.0,0.0,1,6,2020,18.521428,73.8544541,0.03381872236,5.0,315.49,49,2020-11-30
692,49th week,Maharashtra,Satara,Dengue,27.0,0.0,13,11,2020,17.63612885,74.29827808,0.0001970981421,9.0,305.1966666,49,2020-11-30
693,50th week,Maharashtra,Nashik,Chikungunya,8.0,0.0,4,12,2020,20.0112475,73.7902364,0.0008915244476,10.0,303.74,50,2020-12-07
694,50th week,Bihar,Rohtas,Malaria,112.0,0.0,6,12,2020,24.6723487,83.92090397,3.86e-05,6.0,297.4266666,50,2020-12-07
695,51st week,Karnataka,Raichur,Dengue,29.0,0.0,16,12,2020,16.083333,77.166667,0.0004314396273,10.0,304.98400000000004,51,2020-12-14
696,51st week,Kerala,Trivandrum,Chikungunya,11.0,0.0,6,12,2020,8.4882267,76.947551,0.473091389,31.0,300.76,51,2020-12-14
697,52nd week,Maharashtra,Ahmednagar,Chikungunya,14.0,0.0,18,12,2020,19.1627725,74.8580243,0.08753196133,5.0,301.796,52,2020-12-21
698,52nd week,Maharashtra,Nashik,Chikungunya,9.0,0.0,18,12,2020,20.0112475,73.7902364,0.09058216069,5.0,300.41,52,2020-12-21
699,52nd week,Tamil Nadu,Kallakurichi,Acute Diarrhoeal Disease,21.0,0.0,21,12,2020,11.7406259,78.9637131,0.489202687,10.0,299.3,52,2020-12-21
700,52nd week,Tamil Nadu,Virudhunagar Sivakasi,Dengue,8.0,0.0,23,12,2020,9.4477045,77.8000434,0.2942502005,12.0,300.48,52,2020-12-21
701,52nd week,Kerala,Kannur,Acute Diarrhoeal Disease,16.0,0.0,9,12,2020,11.8763836,75.3737973,0.5065819908,5.0,303.365,52,2020-12-21
702,52nd week,Maharashtra,Kolhapur,Acute Diarrhoeal Disease,72.0,0.0,7,12,2020,16.7028412,74.2405329,6.87e-05,9.0,302.94,52,2020-12-21
703,52nd week,Maharashtra,Satara,Acute Diarrhoeal Disease,116.0,0.0,7,12,2020,17.63612885,74.29827808,0.0006041071017,7.0,303.46,52,2020-12-21
704,53rd week,Maharashtra,Amravati,Acute Diarrhoeal Disease,53.0,0.0,28,12,2020,20.9521098,77.7333168,5.79e-05,11.0,302.64,53,2020-12-28
705,53rd week,Mizoram,Serchhip,Acute Diarrhoeal Disease,36.0,0.0,26,12,2020,23.3858923,92.93059891,7.04e-05,5.0,292.9566666,53,2020-12-28
706,53rd week,Odisha,Rayagada,Acute Diarrhoeal Disease,31.0,0.0,3,1,2020,19.17209585,83.33503085,0.03182859956,16.0,296.4833334,53,2020-12-28
707,53rd week,Maharashtra,Beed,Chikungunya,10.0,0.0,16,10,2020,18.9918442,75.909784,1.976420015,13.0,299.16,53,2020-12-28
708,53rd week,Maharashtra,Beed,Chikungunya,15.0,0.0,16,9,2020,18.9918442,75.909784,0.6345256477,12.0,304.54,53,2020-12-28
709,53rd week,Maharashtra,Parbhani,Acute Diarrhoeal Disease,66.0,0.0,5,10,2020,19.29031365,76.60290343,0.06249646935,18.0,304.355,53,2020-12-28
710,1st week,Dadra And Nagar Haveli,Dadra And Nagar Haveli,Cholera,6.0,0.0,4,1,2019,20.2712521,73.0014588,8.72e-05,9.0,304.0666666,1,2018-12-31
711,1st week,Gujarat,Mahesana,Acute Diarrhoeal Disease,12.0,0.0,1,1,2019,23.6015557,72.3867981,0.0001120414055,7.0,298.01,1,2018-12-31
712,1st week,Karnataka,Haveri,Acute Diarrhoeal Disease,25.0,0.0,31,12,2018,14.7874825,75.3996731,0.004688353514,13.0,300.98,1,2018-01-01
713,1st week,Karnataka,Haveri,Acute Diarrhoeal Disease,13.0,0.0,3,1,2019,14.7874825,75.3996731,0.0002796250378,12.0,300.84000000000003,1,2018-12-31
714,1st week,Tamil Nadu,Dharmapuri,Dengue,37.0,0.0,4,1,2019,12.09680475,78.19304301,0.02921215626,8.0,303.125,1,2018-12-31
715,1st week,Tamil Nadu,Dharmapuri,Dengue And Chikungunya,11.0,0.0,4,1,2019,12.09680475,78.19304301,0.02921215626,8.0,303.125,1,2018-12-31
716,1st week,Bihar,Siwan,Dengue,134.0,0.0,16,10,2018,26.1310043,84.39125661,0.1032550294,5.0,300.888,1,2018-01-01
717,1st week,Chhattisgarh,Bastar,Dengue,5.0,0.0,10,12,2018,19.11912825,81.82918649,0.005192771959,5.0,301.388,1,2018-01-01
718,1st week,Karnataka,Davangere,Chikungunya,32.0,0.0,20,12,2018,14.4679807,75.9195682,0.0003752598041,7.0,302.25,1,2018-01-01
719,1st week,Karnataka,Shivamogga,Acute Diarrhoeal Disease,170.0,0.0,25,12,2018,13.9326093,75.574978,0.0006016571436,7.0,303.684,1,2018-01-01
720,1st week,Kerala,Kasaragod,Acute Diarrhoeal Disease,49.0,0.0,26,12,2018,12.5035577,74.9907022,0.06508428612,5.0,301.172,1,2018-01-01
721,1st week,Kerala,Wayanad,Acute Diarrhoeal Disease,70.0,0.0,24,12,2018,11.715219,76.12690295,0.2933887851,33.0,298.97,1,2018-01-01
722,1st week,Maharashtra,Sindhudurg,Acute Diarrhoeal Disease,11.0,0.0,26,12,2018,16.1357193,73.6522086,8.11e-05,5.0,302.3866666,1,2018-01-01
723,2nd week,Assam,Jorhat,Dengue,12.0,0.0,6,1,2019,26.7577925,94.2079645,0.02072528327,34.0,293.6033334,2,2019-01-07
724,2nd week,Gujarat,Anand,Acute Diarrhoeal Disease,75.0,0.0,10,1,2019,22.5584995,72.9625629,6.69e-05,9.0,298.748,2,2019-01-07
725,2nd week,Maharashtra,Gadchiroli,Malaria,3.0,1.0,7,1,2019,19.75907035,80.16228073,4.79e-05,12.0,300.236,2,2019-01-07
726,2nd week,Tamil Nadu,Salem,Chikungunya,83.0,0.0,3,1,2019,11.0600516,77.0679581,0.07573510553,7.0,301.56,2,2019-01-07
727,2nd week,Maharashtra,Nashik,Dengue,27.0,1.0,28,10,2018,20.0112475,73.7902364,0.002509383523,10.0,308.124,2,2018-01-08
728,3rd week,Haryana,Ambala,Acute Diarrhoeal Disease,15.0,0.0,20,1,2019,30.3843674,76.770421,0.00143451636,13.0,289.27,3,2019-01-14
729,3rd week,Puducherry,Puducherry,Acute Diarrhoeal Disease,17.0,0.0,10,1,2019,11.9340568,79.8306447,0.001047460162,10.0,302.0,3,2019-01-14
730,3rd week,Chhattisgarh,Raigarh,Acute Diarrhoeal Disease,25.0,0.0,26,12,2018,22.5,83.5,7.48e-05,5.0,295.55,3,2018-01-15
731,4th week,Haryana,Yamuna Nagar,Acute Diarrhoeal Disease,45.0,0.0,23,1,2019,30.1389108,77.301064,0.5302098992,13.0,291.4133334,4,2019-01-21
732,4th week,Karnataka,Hassan,Acute Diarrhoeal Disease,28.0,0.0,22,1,2019,13.0070817,76.0992703,8.92e-05,7.0,305.464,4,2019-01-21
733,4th week,Meghalaya,West Khasi Hills,Acute Diarrhoeal Disease,108.0,0.0,14,1,2019,25.58173695,91.28910306,0.03078998037,22.0,291.52,4,2019-01-21
734,4th week,Maharashtra,Thane,Dengue,9.0,1.0,15,1,2019,19.1943294,72.9701779,5.55e-05,9.0,304.524,4,2019-01-21
735,4th week,Odisha,Koraput,Acute Diarrhoeal Disease,11.0,0.0,20,1,2019,18.7232023,82.60811828,8.11e-05,12.0,299.68,4,2019-01-21
736,4th week,West Bengal,Birbhum,Acute Diarrhoeal Disease,51.0,0.0,23,1,2019,24.0,87.583333,6.93e-05,6.0,297.82,4,2019-01-21
737,5th week,Odisha,Jagatsinghpur,Acute Diarrhoeal Disease,21.0,0.0,27,1,2019,20.2593872,86.1660878,0.003888925039,6.0,302.14,5,2019-01-28
738,5th week,Rajasthan,Jaipur,Acute Diarrhoeal Disease,100.0,0.0,31,1,2019,26.9154576,75.8189817,0.001989509346,6.0,293.448,5,2019-01-28
739,5th week,Meghalaya,Jaintia Hills,Acute Diarrhoeal Disease,28.0,0.0,24,1,2019,25.5,92.25,0.002923977928,5.0,293.0366666,5,2019-01-28
740,5th week,Karnataka,Tumkur,Chikungunya,137.0,0.0,24,1,2019,13.3400771,77.1006208,8.61e-05,5.0,305.3433334,5,2019-01-28
741,6th week,Andhra Pradesh,Visakhapatnam,Acute Diarrhoeal Disease,23.0,0.0,31,1,2019,17.7222517,83.32670984,0.01016701059,11.0,301.456,6,2019-02-04
742,6th week,Karnataka,Dakshina Kannada,Acute Diarrhoeal Disease,27.0,0.0,1,2,2019,12.9324457,74.9813132,0.0007157749797,5.0,302.388,6,2019-02-04
743,6th week,Odisha,Angul,Acute Diarrhoeal Disease,14.0,0.0,6,2,2019,20.8382426,85.0973949,5.94e-05,11.0,299.64,6,2019-02-04
744,6th week,Tamil Nadu,Pudukottai,Chikungunya,25.0,0.0,5,2,2019,10.3826515,78.8191259,0.02520112055,8.0,304.52500000000003,6,2019-02-04
745,6th week,Tamil Nadu,Ramanathapuram,Chikungunya,21.0,0.0,5,2,2019,9.3895523,78.85907072,0.5065819908,7.0,306.29,6,2019-02-04
746,7th week,Karnataka,Udupi,Dengue,8.0,0.0,11,2,2019,13.3419169,74.7473232,0.004265874878,16.0,305.06,7,2019-02-11
747,7th week,Kerala,Pathanamthitta,Acute Diarrhoeal Disease,6.0,0.0,13,2,2019,9.2780841,76.9737443,0.2312094282,32.0,302.02500000000003,7,2019-02-11
